7,operacoes,Operações,
36,selecao,Seleção,
26,repeticao,Repetição,
34,vetores,Vetores,
1,funcoes,Funções,
5,ponteiros,Ponteiros,
45,strings,Strings,
14,matrizes,Matrizes,
4,structs,Structs,
4,recursao,Recursão,
